Platform,Title,Instructor_Partner,Description,Rating,Reviews,Price,Details,URL
Udemy,Ultimate AWS Certified Solutions Architect Associate 2026 Full Practice Exam | Learn Cloud Computing | Pass the AWS Certified Solutions Architect Associate Certification SAA-C03!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Full Practice Exam | Learn Cloud Computing | Pass the AWS Certified Solutions Architect Associate Certification SAA-C03!,"Rating: 4.7 out of 5 4.7 (284,237)",nan,Current price $89.99,27 total hours 398 lectures All Levels,nan
Udemy,[NEW] Ultimate AWS Certified Cloud Practitioner CLF-C02 2026 Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C02 exam!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C02 exam!,"Rating: 4.7 out of 5 4.7 (283,029)",nan,Current price $89.99,14.5 total hours 282 lectures Beginner,nan
Udemy,"Master Microsoft Azure Fundamentals: AZ-900 Exam Prep 2025 Comprehensive AZ-900 Training with Practice Tests, Study Guides, and More for Microsoft Azure Certification Success","Scott Duffy • 1.000.000+ Students, Software Architect.ca","Comprehensive AZ-900 Training with Practice Tests, Study Guides, and More for Microsoft Azure Certification Success","Rating: 4.6 out of 5 4.6 (137,995)",nan,Current price $79.99,8.5 total hours 87 lectures Beginner,nan
Udemy,Ultimate AWS Certified Developer Associate 2026 DVA-C02 Full Practice Exam with Explanations included! PASS the Amazon Web Services Certified Developer Certification DVA-C02,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Full Practice Exam with Explanations included! PASS the Amazon Web Services Certified Developer Certification DVA-C02,"Rating: 4.7 out of 5 4.7 (120,868)",nan,Current price $79.99,32 total hours 454 lectures All Levels,nan
Udemy,CompTIA Security+ (SY0-701) Complete Course & Practice Exam CompTIA Security+ (SY0-701) Bootcamp - Your preparation for the world's best cybersecurity certification!,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",CompTIA Security+ (SY0-701) Bootcamp - Your preparation for the world's best cybersecurity certification!,"Rating: 4.7 out of 5 4.7 (115,138)",nan,Current price $79.99,31 total hours 264 lectures All Levels,nan
Udemy,"Introduction to Service Management with ITIL 4 Learn about service management, four dimensions, guiding principles, service value system, and ITSM best practices","Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Jason Dion • 2.8 Million+ Enrollments Worldwide","Learn about service management, four dimensions, guiding principles, service value system, and ITSM best practices","Rating: 4.5 out of 5 4.5 (107,699)",nan,Current price $74.99,2 total hours 24 lectures Beginner,nan
Udemy,Certified Kubernetes Administrator (CKA) with Practice Tests Prepare for the Certified Kubernetes Administrators Certification with live practice tests right in your browser - CKA,"Mumshad Mannambeth, KodeKloud Training",Prepare for the Certified Kubernetes Administrators Certification with live practice tests right in your browser - CKA,"Rating: 4.7 out of 5 4.7 (89,873)",nan,Current price $79.99,26 total hours 324 lectures All Levels,nan
Udemy,"TOTAL: CompTIA A+ Core 1 (220-1201) Course + Practice Exam Everything you need to pass A+ Certification Core 1 (220-1201) Exam, Mike Meyers and Total Seminars!","Total Seminars Over 1 Million Enrollments, Mike Meyers, Dakota Snow","Everything you need to pass A+ Certification Core 1 (220-1201) Exam, Mike Meyers and Total Seminars!","Rating: 4.6 out of 5 4.6 (87,893)",nan,Current price $19.99,20.5 total hours 153 lectures All Levels,nan
Udemy,"Cisco CCNA 200-301 – The Complete Guide to Getting Certified The top rated CCNA course online with comprehensive videos, lab exercises, study notes, Anki flashcards and active Q&amp;A",Neil Anderson,"The top rated CCNA course online with comprehensive videos, lab exercises, study notes, Anki flashcards and active Q&A","Rating: 4.8 out of 5 4.8 (85,794)",nan,Current price $79.99,42.5 total hours 326 lectures Beginner,nan
Udemy,AZ-900 Microsoft Azure Fundamentals Beginner's guide to Microsoft Azure,Alan Rodrigues,Beginner's guide to Microsoft Azure,"Rating: 4.5 out of 5 4.5 (65,775)",nan,Current price $79.99,14.5 total hours 200 lectures Beginner,nan
Udemy,The Complete Networking Fundamentals Course. Your CCNA start Learn about networking and start your journey to Cisco 200-301 Certification.,David Bombal,Learn about networking and start your journey to Cisco 200-301 Certification.,"Rating: 4.7 out of 5 4.7 (56,416)",nan,Current price $79.99,73 total hours 580 lectures Beginner,nan
Udemy,"AZ-104 Microsoft Azure Administrator - Complete Exam Prep AZ-104 certification prep covering identity, networking, storage, compute & monitoring","Scott Duffy • 1.000.000+ Students, Software Architect.ca","AZ-104 certification prep covering identity, networking, storage, compute & monitoring","Rating: 4.5 out of 5 4.5 (55,717)",nan,Current price $79.99,15 total hours 182 lectures Intermediate,nan
Udemy,"The Complete Oracle SQL Certification Course Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",Job Ready Programmer,"Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!","Rating: 4.6 out of 5 4.6 (54,797)",nan,Current price $109.99,17 total hours 79 lectures All Levels,nan
Udemy,Six Sigma: Certified Lean Six Sigma White Belt (Accredited) Six Sigma White Belt Certification (Accredited) | Six Sigma White Belt & Seven Basic Tools of Quality (Earn PDUs | CPDs),Advanced Innovation Group Pro Excellence (AIGPE),Six Sigma White Belt Certification (Accredited) | Six Sigma White Belt & Seven Basic Tools of Quality (Earn PDUs | CPDs),"Rating: 4.6 out of 5 4.6 (52,797)",nan,Current price $79.99,2.5 total hours 36 lectures Beginner,nan
Udemy,AZ-900 Microsoft Azure Fundamentals in a Weekend PASS AZ-900 in a WEEKEND. GET Azure Certification - Microsoft Azure Fundamentals.,"in28Minutes Official, Open Cloud Solutions | Microsoft Azure Certification - AZ 900",PASS AZ-900 in a WEEKEND. GET Azure Certification - Microsoft Azure Fundamentals.,"Rating: 4.6 out of 5 4.6 (47,414)",nan,Current price $109.99,11.5 total hours 216 lectures Beginner,nan
Udemy,CompTIA A+ Core 1 (220-1201) Full Course & Practice Exam Pass the CompTIA A+ Core 1 (220-1201) exam with help from a top expert in the field!,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",Pass the CompTIA A+ Core 1 (220-1201) exam with help from a top expert in the field!,"Rating: 4.7 out of 5 4.7 (42,308)",nan,Current price $59.99,26 total hours 219 lectures All Levels,nan
Udemy,[NEW] Ultimate AWS Certified AI Practitioner AIF-C01 Practice Exam included + explanations | Learn Artificial Intelligence | Pass the AWS AI Practitioner AIF-C01 exam!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Practice Exam included + explanations | Learn Artificial Intelligence | Pass the AWS AI Practitioner AIF-C01 exam!,"Rating: 4.7 out of 5 4.7 (40,483)",nan,Current price $34.99,10.5 total hours 150 lectures Beginner,nan
Udemy,AWS Certified Cloud Practitioner (CLF-C02) Exam Training [2026] Earn your AWS Certified Cloud Practitioner Certification in 20 Days! Hands-on Exercises + AWS Bonus Practice Exam,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",[2026] Earn your AWS Certified Cloud Practitioner Certification in 20 Days! Hands-on Exercises + AWS Bonus Practice Exam,"Rating: 4.7 out of 5 4.7 (39,119)",nan,Current price $74.99,14 total hours 202 lectures Beginner,nan
